food_name,category,price,review,rating,original_taste,taste_reform_scheme,image_url
鲜肉小笼（知味观(下沙店)）,江浙菜,16,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://www.bing.com/th/id/OIP.V6g0NBK4OwFG7F86I-SS7gHaE8?w=179&h=128&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
知味混沌（知味观(下沙店)）,江浙菜,12,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://th.bing.com/th/id/ODL.890ec666a45f551f9ca79f66e70948eb?w=310&h=198&c=7&rs=1&bgcl=fffffe&r=0&o=6&dpr=2&pid=AlgoBlockDebug
片儿川（知味观(下沙店)）,江浙菜,20,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://www.bing.com/th/id/OIP.9qIXepzt_606qCgXbFYURAHaHa?w=221&h=200&c=8&rs=1&o=6&dpr=2&pid=3.1&rm=2
猫耳朵（知味观(下沙店)）,江浙菜,8,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://th.bing.com/th/id/ODL.31a21143ad0958f725aedc3029c69edf?w=310&h=198&c=7&rs=1&bgcl=fffffe&r=0&o=6&dpr=2&pid=AlgoBlockDebug
糯米藕（知味观(下沙店)）,江浙菜,10,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://www.bing.com/th/id/OIP.c60JgUwXYrW7gzZomMotZQHaKW?w=110&h=128&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
牛肉粉丝（知味观(下沙店)）,江浙菜,7,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://th.bing.com/th/id/OIP.h4zjFrxdi5N1wEU4tFMh9gHaFj?w=108&h=108&c=1&bgcl=33459a&r=0&o=7&dpr=2&pid=ImgRC&rm=3
条头糕（知味观(下沙店)）,江浙菜,14,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://www.bing.com/th/id/OIP.tW6HRS2GxWMN4ejbCjddgAHaHa?w=123&h=128&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
三鲜小笼（知味观(下沙店)）,江浙菜,22,知味观(下沙店)的招牌菜。位于弗雷德广场，环境不错，店员热情，菜品和糕点都很受欢迎。,4.0,门店：知味观(下沙店)；菜系：江浙菜；人均：36元,来源：Apple Maps；门店：知味观(下沙店)；链接：https://maps.apple.com/place?auid=1117323449034848&lsp=57879,https://th.bing.com/th/id/ODL.6e6e2a5f158bd9d8cd99518cebde5ee5?w=312&h=200&c=12&rs=1&o=6&dpr=2&pid=AlgoBlockDebug
鲜肉小笼包（包笼天下(下沙店)）,小吃快餐,7,包笼天下(下沙店)的招牌菜。现包现做，新鲜度不错，胡辣汤和葱油拌面一类的快手小吃很受欢迎。,3.6,门店：包笼天下(下沙店)；菜系：小吃快餐；人均：12元,来源：Apple Maps；门店：包笼天下(下沙店)；链接：https://maps.apple.com/place?auid=1118368772901442&lsp=57879,https://www.bing.com/th/id/OIP.P6CsfFXd4gEZw7FgLsdTWgHaE8?w=298&h=199&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
胡辣汤（包笼天下(下沙店)）,汤类,3,包笼天下(下沙店)的招牌菜。现包现做，新鲜度不错，胡辣汤和葱油拌面一类的快手小吃很受欢迎。,3.6,门店：包笼天下(下沙店)；菜系：小吃快餐；人均：12元,来源：Apple Maps；门店：包笼天下(下沙店)；链接：https://maps.apple.com/place?auid=1118368772901442&lsp=57879,https://th.bing.com/th/id/OIP.mNvUuGtCnpTK5MEx7jenpwHaE7?w=200&h=200&c=10&o=6&dpr=2&pid=genserp&rm=2
